# x y r lon
0.954213 0.042088 0.955140 0.044079
0.954227 0.042154 0.955157 0.044147
0.954241 0.042219 0.955174 0.044215
0.954255 0.042285 0.955191 0.044283
0.954269 0.042351 0.955208 0.044351
0.954283 0.042416 0.955225 0.044419
0.954297 0.042482 0.955242 0.044487
0.954311 0.042548 0.955259 0.044555
0.954325 0.042613 0.955276 0.044623
0.954339 0.042679 0.955293 0.044691
0.954353 0.042744 0.955310 0.044759
0.954367 0.042810 0.955327 0.044827
0.954381 0.042875 0.955344 0.044894
0.954396 0.042941 0.955361 0.044962
0.954410 0.043006 0.955378 0.045030
0.954424 0.043071 0.955396 0.045098
0.954438 0.043137 0.955413 0.045165
0.954453 0.043202 0.955430 0.045233
0.954467 0.043267 0.955447 0.045301
0.954481 0.043333 0.955465 0.045368
0.954496 0.043398 0.955482 0.045436
0.954510 0.043463 0.955499 0.045503
0.954525 0.043528 0.955517 0.045571
0.954539 0.043594 0.955534 0.045638
0.954553 0.043659 0.955551 0.045706
0.954568 0.043724 0.955569 0.045773
0.954582 0.043789 0.955586 0.045840
0.954597 0.043854 0.955604 0.045908
0.954611 0.043919 0.955621 0.045975
0.954626 0.043984 0.955639 0.046042
0.954641 0.044049 0.955656 0.046110
0.954655 0.044114 0.955674 0.046177
0.954670 0.044179 0.955692 0.046244
0.954684 0.044244 0.955709 0.046311
0.954699 0.044309 0.955727 0.046379
0.954714 0.044374 0.955745 0.046446
0.954729 0.044439 0.955762 0.046513
0.954743 0.044504 0.955780 0.046580
0.954758 0.044569 0.955798 0.046647
0.954773 0.044634 0.955816 0.046714
0.954788 0.044698 0.955833 0.046781
0.954802 0.044763 0.955851 0.046848
0.954817 0.044828 0.955869 0.046915
0.954832 0.044893 0.955887 0.046982
0.954847 0.044957 0.955905 0.047048
0.954862 0.045022 0.955923 0.047115
0.954877 0.045087 0.955941 0.047182
0.954892 0.045151 0.955959 0.047249
0.954907 0.045216 0.955977 0.047316
0.954922 0.045280 0.955995 0.047382
